CommitmentYear;CommitmentCode;CommitmentNumber;CommitmentLine;Year;Number;CreationDate;ModificationDate;Value
2009;AE084;245230;1;2009;108300;20090310;20090407;3790400
2009;AE   ;245084;1;2009;110398;20090320;20090403;7504
2009;AE   ;245269;1;2009;110366;20090320;20090403;90000
2009;AE   ;245274;1;2009;110371;20090320;20090403;213763
2009;AE   ;245277;1;2009;110378;20090320;20090403;352454
2009;AE   ;244943;1;2009;111321;20090327;20090415;7000
2009;AE   ;245284;1;2009;111352;20090327;20090415;148607
2009;AE   ;245285;1;2009;111359;20090327;20090415;240726
2009;AE   ;245266;1;2009;112544;20090402;20090427;170760
2009;AE   ;245316;1;2009;114580;20090410;20090430;96248
2009;AE   ;244967;1;2009;116249;20090424;20090522;14450882
2009;AE   ;244970;1;2009;116252;20090424;20090518;2620927
2009;AE   ;245085;1;2009;116596;20090428;20090519;1917924
2009;AE   ;244948;1;2009;116769;20090429;20090514;8500
2009;AE   ;245106;1;2009;116767;20090429;20090514;39085
2009;AE   ;250255;1;2009;116787;20090429;20090514;35080
2009;AE   ;250107;1;2009;117067;20090430;20090518;105000
2009;AE   ;245061;1;2009;117570;20090505;20090519;7558200
2009;AE   ;244963;1;2009;118957;20090513;20090526;348941
2009;AE   ;245095;1;2009;118906;20090513;20090526;693650
2009;AE   ;245234;1;2009;118945;20090513;20090526;194466
2009;AE   ;245237;1;2009;118918;20090513;20090526;565322
2009;AE   ;252614;1;2009;119550;20090518;20090608;9723890
2009;AE   ;244947;1;2009;119682;20090519;20090608;8500
2009;AE   ;250102;1;2009;119733;20090519;20090608;72817
2009;AE   ;245051;1;2009;119979;20090520;20090608;637200
2009;AE   ;250114;1;2009;120370;20090525;20090608;75794
2009;AE   ;244950;1;2009;120728;20090527;20090615;7498930
2009;AE   ;244955;1;2009;120778;20090527;20090617;8926460
2009;AE   ;245047;1;2009;120800;20090527;20090615;13249392
2009;AE   ;245104;1;2009;120723;20090527;20090615;8408170
2009;AE   ;245110;1;2009;120779;20090527;20090615;14591760
2009;AE   ;245141;1;2009;120674;20090527;20090615;3179392
2009;AE   ;245158;1;2009;120777;20090527;20090615;7719750
2009;AE   ;249771;1;2009;120798;20090527;20090616;2920682
2009;AE   ;250118;1;2009;120653;20090527;20090612;99187
2009;AE084;245265;1;2009;120985;20090528;20090615;380324
2009;AE   ;245308;1;2009;121559;20090605;20090619;142636
2009;AE   ;244942;1;2009;122428;20090610;20090622;6782769
2009;AE   ;244975;1;2009;122462;20090610;20090622;2745202
2009;AE   ;245119;1;2009;122461;20090610;20090814;8738347
2009;AE   ;245142;1;2009;122324;20090610;20090625;8966510
2009;AE   ;245143;1;2009;122347;20090610;20090625;7193004
2009;AE   ;245144;1;2009;122359;20090610;20090625;29939780
