Year;Code;Number;Line;CreationDate;ModificationDate;Name;Value;BeneficiaryCode;BeneficiaryName;IrisCode;Sector;ActionCode;ActionName
2009;IRIS ;272777;1;20091202;20091202;09002570 - 1;122520000;13001;ANTIN RESIDENCES SA HABITAT LOYER     ;09002570;LO                  ;15400301            ;Réhabilitation du parc locatif social
2009;IRIS ;272778;1;20091202;20091202;09003501 - 1;139260000;27883;DOMAXIS SA D HLM                      ;09003501;LO                  ;15400301            ;Réhabilitation du parc locatif social
2009;IRIS ;272779;1;20091202;20091202;09003506 - 1;13200000;19790;SA HLMAP LES RESIDENCES SOCIETE       ;09003506;LO                  ;15400301            ;Réhabilitation du parc locatif social
2009;IRIS ;277505;1;20100122;20100122;CONVENTION DE PATRIMOINE-AVANCE 2-OPH PARIS HABITAT;1225560000;5242;PARIS HABITAT OPH                     ;09003521;LO                  ;15400301            ;Réhabilitation du parc locatif social
2009;IRIS ;272782;1;20091202;20091202;09003523 - 1;574140000;25423;OPIEVOY OPH INTERDEPARTEMENTAL DE L   ;09003523;LO                  ;15400301            ;Réhabilitation du parc locatif social
2009;IRIS ;275863;1;20091217;20091217;09002744 - 1;1500000;1269;COMMUNE DE VILLEPINTE                 ;09002744;PV                  ;15100204            ;Sites contractualisés ANRU
2009;IRIS ;275864;1;20091217;20091217;09002745 - 1;1522500;162;COMMUNE DE MONTIGNY LES CORMEILLES    ;09002745;PV                  ;15100204            ;Sites contractualisés ANRU
2009;IRIS ;275865;1;20091217;20091217;09002760 - 1;10684300;162;COMMUNE DE MONTIGNY LES CORMEILLES    ;09002760;PV                  ;15100204            ;Sites contractualisés ANRU
2009;IRIS ;275866;1;20091217;20091217;09002765 - 1;2758300;162;COMMUNE DE MONTIGNY LES CORMEILLES    ;09002765;PV                  ;15100204            ;Sites contractualisés ANRU
2009;IRIS ;275867;1;20091217;20091217;09003066 - 1;49694500;4571;SADEV 94 SOCIETE D AMENAGEMENT ET     ;09003066;PV                  ;15100204            ;Sites contractualisés ANRU
2009;IRIS ;275868;1;20091217;20091217;09003067 - 1;24076800;4571;SADEV 94 SOCIETE D AMENAGEMENT ET     ;09003067;PV                  ;15100204            ;Sites contractualisés ANRU
2009;IRIS ;275869;1;20091217;20091217;09003839 - 1;22546800;141;COMMUNE DE JOUY LE MOUTIER            ;09003839;PV                  ;15100203            ;Sites en prévention
2009;IRIS ;275870;1;20091217;20091217;09003858 - 1;17453200;141;COMMUNE DE JOUY LE MOUTIER            ;09003858;PV                  ;15100203            ;Sites en prévention
2009;IRIS ;275871;1;20091217;20091217;09004293 - 1;30123000;1264;COMMUNE DE ROMAINVILLE                ;09004293;PV                  ;15100203            ;Sites en prévention
2009;IRIS ;275876;1;20091217;20091217;R-2009-AE-250172 - 2;6185700;1244;COMMUNE DE BONDY                      ;R-2009-AE-250172;PV                  ;15100204            ;Sites contractualisés ANRU
